canonical_id,text_final,cluster,tags,subtitle,rationale,citation_text,citation_url,evidence_summary,source,pub_batch,created_from_seed,status,display_order,id,created_date,updated_date,created_by_id,created_by,is_sample
"","Invite skeptics to a structured Q&A","Handle emotions and risk","Skeptics","Invite skeptics to ask questions in a structured session.","Brings rumours and worries into the open; Shows respect for critical voices; Allows managers to correct misunderstandings with everyone listening.","Balogun, J., & Johnson, G. (2005). From intended strategies to unintended outcomes: The impact of change-recipient sensemaking. Organization Studies, 26(11), 1573–1601.","https://journals.sagepub.com/doi/10.1177/0170840605054624","Qualitative study showing how engaging sceptics can reduce unintended outcomes.","Balogun & Johnson (2005)","2026-01-03","true","Published","19","69593dddb7e03945a9abeb07","2026-01-03T16:03:41.638000","2026-01-03T16:08:19.470000","69077131d7800e48c5251a49","duy.quachnguyen@gmail.com","false"
"","Visualize dependencies on other teams in one chart","Coordinate across teams and unblock","Dependencies","Show in one picture which teams depend on whom.","Makes lateral dependencies visible; Reduces surprises at interfaces between teams; Helps plan coordination and sequencing of work.","Balogun, J., & Johnson, G. (2005). From intended strategies to unintended outcomes: The impact of change-recipient sensemaking. Organization Studies, 26(11), 1573–1601.","https://journals.sagepub.com/doi/10.1177/0170840605054624","Qualitative study of how sideways sensemaking at interfaces shapes change outcomes.","Balogun & Johnson (2005)","2026-01-03","true","Published","18","69593dddef4549e17f3ee3a2","2026-01-03T16:03:41.344000","2026-01-03T16:08:19.134000","69077131d7800e48c5251a49","duy.quachnguyen@gmail.com","false"
"","Set an escalation SLA for unresolved blockers","Coordinate across teams and unblock","Escalation","Agree on how quickly unresolved blockers will be escalated.","Gives teams a clear path when they get stuck; Prevents issues from lingering in silence; Helps managers prioritise support across many DT initiatives.","Henderikx, M., & Stoffers, J. (2023). Digital transformation and middle managers’ leadership skills & behavior: a group concept mapping approach. Frontiers in Psychology, 14, 1147002.","https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1147002","Group concept mapping study highlighting fast unblocking as an important behaviour.","Henderikx & Stoffers (2023)","2026-01-03","true","Published","17","69593ddde0762f0fda4a8b45","2026-01-03T16:03:41.012000","2026-01-03T16:08:15.315000","69077131d7800e48c5251a49","duy.quachnguyen@gmail.com","false"
"","Protect 2 hours/week for learning tied to the goal","Show how work will change","Learning","Set aside protected time each week for learning tied to the DT goals.","Signals that learning is part of the job, not an extra; Gives people space to build new skills without burnout; Increases the chances that new tools are actually adopted.","Henderikx, M., & Stoffers, J. (2023). Digital transformation and middle managers’ leadership skills & behavior: a group concept mapping approach. Frontiers in Psychology, 14, 1147002.","https://www.frontiersin.org/articles/10.3389/fpsyg.2023.1147002","Group concept mapping study identifying learning support as a key middle-manager behaviour in DT.","Henderikx & Stoffers (2023)","2026-01-03","true","Published","16","69593ddcadb5f834c1df5aac","2026-01-03T16:03:40.699000","2026-01-03T16:08:11.620000","69077131d7800e48c5251a49","duy.quachnguyen@gmail.com","false"
"","Post a visual of handoffs removed","Show how work will change","Process","Show which handoffs or steps disappear with the new way of working.","Makes the efficiency gains of DT visible; Helps teams see how their workload and interactions will change; Reinforces the message that the change is simplifying work, not just adding tasks.","Rouleau, L. (2005). Micro-practices of strategic sensemaking and sensegiving. Journal of Management Studies, 42(7), 1413–1441.","https://onlinelibrary.wiley.com/doi/10.1111/j.1467-6486.2005.00549.x","Ethnographic study on visualising enacted changes in workflows.","Rouleau (2005)","2026-01-03","true","Published","15","69593ddc97c883f04d4a839d","2026-01-03T16:03:40.370000","2026-01-03T16:08:07.908000","69077131d7800e48c5251a49","duy.quachnguyen@gmail.com","false"
"","Demo working software instead of slides","Show how work will change","Demo","Show the real tool in use instead of talking about it in slides.","Builds trust that the change is real, not just talk; Reveals practical questions that only appear when people see the tool; Helps users imagine themselves using the new system.","Rouleau, L. (2005). Micro-practices of strategic sensemaking and sensegiving. Journal of Management Studies, 42(7), 1413–1441.","https://onlinelibrary.wiley.com/doi/10.1111/j.1467-6486.2005.00549.x","Ethnographic study showing how demonstrations make abstract strategy tangible.","Rouleau (2005)","2026-01-03","true","Published","14","69593ddc5731441183ecdee5","2026-01-03T16:03:40.088000","2026-01-03T16:08:04.209000","69077131d7800e48c5251a49","duy.quachnguyen@gmail.com","false"
"","Share three user stories that embody the goal","Show how work will change","Storytelling","Share three short stories that illustrate the DT goal in action.","Makes abstract goals vivid and memorable; Shows what “good” looks like in real situations; Encourages teams to imagine how similar stories could happen in their area.","Rouleau, L. (2005). Micro-practices of strategic sensemaking and sensegiving. Journal of Management Studies, 42(7), 1413–1441.","https://onlinelibrary.wiley.com/doi/10.1111/j.1467-6486.2005.00549.x","Ethnographic study of how stories and examples make strategy understandable.","Rouleau (2005)","2026-01-03","true","Published","13","69593ddbdf5f0ff1ac2e78f2","2026-01-03T16:03:39.764000","2026-01-03T16:08:00.473000","69077131d7800e48c5251a49","duy.quachnguyen@gmail.com","false"
"","Show a before/after workflow sketch","Show how work will change","Process","Draw how work looks today versus after the DT change.","Helps people see concretely what will be different; Surfaces hidden steps and pain points; Makes it easier to spot where support or training is needed.","Rouleau, L. (2005). Micro-practices of strategic sensemaking and sensegiving. Journal of Management Studies, 42(7), 1413–1441.","https://onlinelibrary.wiley.com/doi/10.1111/j.1467-6486.2005.00549.x","Ethnographic study of how managers use concrete artefacts in everyday sensegiving.","Rouleau (2005)","2026-01-03","true","Published","11","69593ddac1fb00b7ab7169e6","2026-01-03T16:03:38.910000","2026-01-03T16:07:56.311000","69077131d7800e48c5251a49","duy.quachnguyen@gmail.com","false"
"","Use a single channel for official goal updates","Make the goal concrete","Channel","Use one official channel so people know where to look for updates.","Reduces drift between different versions of the story; Makes it easier for people to catch up if they miss a meeting; Lowers noise from competing messages.","Maitlis, S. (2005). The social processes of organizational sensemaking. Academy of Management Journal, 48(1), 21–49.","https://journals.aom.org/doi/10.5465/amj.2005.15993111","Sensemaking research on how communication patterns shape collective understanding.","Maitlis (2005)","2026-01-03","true","Published","7","69593dc0eac6a120dc6e88a1","2026-01-03T16:03:12.872000","2026-01-03T16:07:47.940000","69077131d7800e48c5251a49","duy.quachnguyen@gmail.com","false"
"","Pin the latest goal post at the top","Make the goal concrete","Communication","Make the latest official goal message easy to find.","Reduces confusion about which version of the goal is current; Helps align conversations across teams; Makes it easier to onboard new people into the DT story.","Maitlis, S., & Christianson, M. (2014). Sensemaking in organizations: Taking stock and moving forward. The Academy of Management Annals, 8(1), 57–125.","https://journals.aom.org/doi/10.5465/19416520.2014.873177","Review of sensemaking research emphasising the role of salient cues and signals.","Maitlis & Christianson (2014)","2026-01-03","true","Published","5","69593db9785c2ed83c8cbea7","2026-01-03T16:03:05.416000","2026-01-03T16:07:43.901000","69077131d7800e48c5251a49","duy.quachnguyen@gmail.com","false"
