text,author_token,ts,id,created_date,updated_date,created_by_id,created_by,is_sample
"Ensure that when the technology is ready, people also have the necessary skills to operate it.","30545a77-664a-44d4-9d54-a7c1993a32b9","2026-01-10T11:57:57.654Z","69623ec668afe0c8507ae99c","2026-01-10T11:57:58.566000","2026-01-10T11:57:58.566000","anonymous","anonymous","false"
"The meeting reports must be exported from the real-time system.","30545a77-664a-44d4-9d54-a7c1993a32b9","2026-01-10T11:56:09.667Z","69623e5ae0640bffa8f7cf43","2026-01-10T11:56:10.535000","2026-01-10T11:56:10.535000","anonymous","anonymous","false"
"Establish regular digital skills training programs.","30545a77-664a-44d4-9d54-a7c1993a32b9","2026-01-10T11:54:55.373Z","69623e109a7f36eb1d1a48ed","2026-01-10T11:54:56.044000","2026-01-10T11:54:56.045000","anonymous","anonymous","false"
"Request parts quickly, eliminate unnecessary intermediate steps.","30545a77-664a-44d4-9d54-a7c1993a32b9","2026-01-10T11:53:56.059Z","69623dd4e66dc12580f9c683","2026-01-10T11:53:56.996000","2026-01-10T11:53:56.996000","anonymous","anonymous","false"
"Continuous improvement","7cb82cfd-fb62-4f52-9d5d-7a429aef0680","2026-01-09T19:35:31.680Z","696158837f58e0d57d733b8c","2026-01-09T19:35:31.690000","2026-01-09T19:35:31.690000","anonymous","anonymous","false"
"Reorganize, train all employees to be ready to work effectively within the digital system.","7cb82cfd-fb62-4f52-9d5d-7a429aef0680","2026-01-09T19:34:32.776Z","6961584bb637af3b2c5f3e6c","2026-01-09T19:34:35.280000","2026-01-09T19:34:35.280000","anonymous","anonymous","false"
"Consider solutions: processes, application systems, technologies, etc.","7cb82cfd-fb62-4f52-9d5d-7a429aef0680","2026-01-09T19:21:00.244Z","6961551ccba94fc1792e4fef","2026-01-09T19:21:00.453000","2026-01-09T19:21:00.453000","anonymous","anonymous","false"
"Build KPIs for each department based on digital transformation objectives","7cb82cfd-fb62-4f52-9d5d-7a429aef0680","2026-01-09T19:20:03.066Z","696154e25b8fa78b07efe2c5","2026-01-09T19:20:02.915000","2026-01-09T19:20:02.915000","anonymous","anonymous","false"
"Define digital transformation objectives.","7cb82cfd-fb62-4f52-9d5d-7a429aef0680","2026-01-09T19:19:00.745Z","696154a549312a96c61f163b","2026-01-09T19:19:01.969000","2026-01-09T19:19:01.969000","anonymous","anonymous","false"
"Implement a reward, punishment policy for each milestone.","a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8","2026-01-09T18:45:54.124Z","69614ce1092a925863efe17f","2026-01-09T18:45:53.857000","2026-01-09T18:45:53.857000","anonymous","anonymous","false"
"Establish a channel for sharing information on controlling strategic goals.","a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8","2026-01-09T18:45:15.187Z","69614cba06256ac12cf13ec3","2026-01-09T18:45:14.889000","2026-01-09T18:45:14.889000","anonymous","anonymous","false"
"Regularly review, update strategic goals to align with the company's actual needs.","a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8","2026-01-09T18:44:47.333Z","69614c9f694da8029173bc8d","2026-01-09T18:44:47.052000","2026-01-09T18:44:47.052000","anonymous","anonymous","false"
"Develop a roadmap for achieving strategic goals, defining specific targets for each milestone in the roadmap.","a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8","2026-01-09T18:43:34.253Z","69614c5693ce0292bfcf2548","2026-01-09T18:43:34.232000","2026-01-09T18:43:34.232000","anonymous","anonymous","false"
"Conduct periodic performance reviews, reward/penalty programs.","b828caf0-4cef-4a31-9cf0-102b91841982","2026-01-09T17:52:47.315Z","6961406f96a6a2b22a8083c3","2026-01-09T17:52:47.469000","2026-01-09T17:52:47.469000","anonymous","anonymous","false"
"Conduct regular compliance checks.","b828caf0-4cef-4a31-9cf0-102b91841982","2026-01-09T17:47:39.579Z","69613f3bb3356976f6a60931","2026-01-09T17:47:39.705000","2026-01-09T17:47:39.705000","anonymous","anonymous","false"
"Provide regular training to refresh knowledge related to digital transformation.","b828caf0-4cef-4a31-9cf0-102b91841982","2026-01-09T17:45:27.043Z","69613eb74c3f8190091231a4","2026-01-09T17:45:27.263000","2026-01-09T17:45:27.263000","anonymous","anonymous","false"
"Communicate to employees the importance of process adherence, data accuracy when implementing digitalization.","b828caf0-4cef-4a31-9cf0-102b91841982","2026-01-09T17:43:46.099Z","69613e532106c691db26a56e","2026-01-09T17:43:47.260000","2026-01-09T17:43:47.260000","anonymous","anonymous","false"
"Communicate to employees that digital transformation brings about positive, far reaching changes, from work progresses to daily problem-solving.","b828caf0-4cef-4a31-9cf0-102b91841982","2026-01-09T17:30:39.914Z","69613b40078b23352ef473eb","2026-01-09T17:30:40.429000","2026-01-09T17:30:40.429000","anonymous","anonymous","false"
"Provide the best environment for digital transformation operations: training, system, data, infrastructure, ect...","fed6c52e-3491-40cf-91df-5c9a734a0926","2026-01-09T17:07:13.418Z","696135c28d0ecab4645bfd1f","2026-01-09T17:07:14.143000","2026-01-09T17:07:14.143000","anonymous","anonymous","false"
"Communicate the advantage of digital transformation, the significant changes It will bring, so that employees are actively ready to embrace it.","fed6c52e-3491-40cf-91df-5c9a734a0926","2026-01-09T17:05:06.128Z","696135426bbb7cfb720b26b4","2026-01-09T17:05:06.591000","2026-01-09T17:05:06.591000","anonymous","anonymous","false"
"The project team monitors progress, updates changes to objectives. The information must be updated to all team memebers.","fed6c52e-3491-40cf-91df-5c9a734a0926","2026-01-09T16:57:02.876Z","6961335f4f26a8154fb3d097","2026-01-09T16:57:03.214000","2026-01-09T16:57:03.214000","anonymous","anonymous","false"
