research_question,resultat,significant,methodology_with_citation,recommendation
"Q1: Do participants converge more on Impact (Y) than Implementability (X)?","Mean SDx 1.080 vs SDy 1.434 (mean diff 0.354).","p=0.01062 (paired t-test).","Compute per-statement SDx/SDy then compare paired SDs with a paired t-test for mean difference; lower SD implies stronger convergence. Sources: NIST on standard deviation and paired t-test (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm, https://www.itl.nist.gov/div898/handbook/eda/section3/eda353.htm).","Include (statistically significant difference)."
"Q1: Do participants converge more on Impact (Y) than Implementability (X)?","Median SDx 1.047 vs SDy 1.544.","p=0.01062 (paired t-test).","Compute per-statement SDx/SDy then compare paired SDs with a paired t-test for mean difference; lower SD implies stronger convergence. Sources: NIST on standard deviation and paired t-test (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm, https://www.itl.nist.gov/div898/handbook/eda/section3/eda353.htm).","Include (supports main finding)."
"Q2: Are there “consensus zones” (grid regions) where placements concentrate?","Cell (4,7) [ID 28]: 23 placements (8.27%), 14 participants (87.50%).","N/A (descriptive counts).","Aggregate placements into 7×7 grid cells and compute counts/percentages (heatmap-style density). Sources: heat map overview and proportions (https://en.wikipedia.org/wiki/Heat_map, https://en.wikipedia.org/wiki/Proportion_(statistics)).","Include (key consensus zone)."
"Q2: Are there “consensus zones” (grid regions) where placements concentrate?","Cell (6,2) [ID 37]: 23 placements (8.27%), 10 participants (62.50%).","N/A (descriptive counts).","Aggregate placements into 7×7 grid cells and compute counts/percentages (heatmap-style density). Sources: heat map overview and proportions (https://en.wikipedia.org/wiki/Heat_map, https://en.wikipedia.org/wiki/Proportion_(statistics)).","Include (key consensus zone)."
"Q2: Are there “consensus zones” (grid regions) where placements concentrate?","Cell (5,5) [ID 33]: 16 placements (5.76%), 12 participants (75.00%).","N/A (descriptive counts).","Aggregate placements into 7×7 grid cells and compute counts/percentages (heatmap-style density). Sources: heat map overview and proportions (https://en.wikipedia.org/wiki/Heat_map, https://en.wikipedia.org/wiki/Proportion_(statistics)).","Include (key consensus zone)."
"Q2: Are there “consensus zones” (grid regions) where placements concentrate?","Cell (5,2) [ID 30]: 16 placements (5.76%), 8 participants (50.00%).","N/A (descriptive counts).","Aggregate placements into 7×7 grid cells and compute counts/percentages (heatmap-style density). Sources: heat map overview and proportions (https://en.wikipedia.org/wiki/Heat_map, https://en.wikipedia.org/wiki/Proportion_(statistics)).","Include (supporting zone)."
"Q2: Are there “consensus zones” (grid regions) where placements concentrate?","Cell (6,3) [ID 38]: 14 placements (5.04%), 10 participants (62.50%).","N/A (descriptive counts).","Aggregate placements into 7×7 grid cells and compute counts/percentages (heatmap-style density). Sources: heat map overview and proportions (https://en.wikipedia.org/wiki/Heat_map, https://en.wikipedia.org/wiki/Proportion_(statistics)).","Include (supporting zone)."
"Q3: Which seed statements show the highest agreement in placement?","69593daf0a570c24336526d8: 53.33% exact agreement (n=15).","N/A (agreement rate).","Compute exact-cell agreement and within-1-cell agreement as proportions per statement; rank by agreement. Sources: proportion statistics and categorical agreement summaries (https://en.wikipedia.org/wiki/Proportion_(statistics)).","Include (top agreement)."
"Q3: Which seed statements show the highest agreement in placement?","69593ddde0762f0fda4a8b45: 50.00% exact agreement (n=14).","N/A (agreement rate).","Compute exact-cell agreement and within-1-cell agreement as proportions per statement; rank by agreement. Sources: proportion statistics and categorical agreement summaries (https://en.wikipedia.org/wiki/Proportion_(statistics)).","Include (top agreement)."
"Q3: Which seed statements show the highest agreement in placement?","69593ddcadb5f834c1df5aac: 42.86% exact agreement (n=14).","N/A (agreement rate).","Compute exact-cell agreement and within-1-cell agreement as proportions per statement; rank by agreement. Sources: proportion statistics and categorical agreement summaries (https://en.wikipedia.org/wiki/Proportion_(statistics)).","Include (top agreement)."
