token,cluster_id,cluster_size,placements,avg_distance_to_cluster
ad1b9e2e-51bb-4e90-a9ad-816022f82dc4,1,2,23,2.888564901641319
cdecce63-879c-40b2-b10f-9c7fa53bd875,1,2,25,2.888564901641319
0faae8e3-9d8d-456d-927c-72e3e608a22a,2,14,4,2.226267223366205
1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc,2,14,24,3.4483628406615625
30545a77-664a-44d4-9d54-a7c1993a32b9,2,14,14,2.8983742001100223
35569596-4e4f-4ef8-ba25-8e0b36d7c77c,2,14,24,2.197107934899664
403fcc5a-e686-45f2-bcab-23af322043b8,2,14,23,2.0220223836129376
7372d8df-8801-4122-acd5-a879fc9db86b,2,14,23,1.844436943517631
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,2,14,24,1.5878395172654185
a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8,2,14,23,1.5878395172654185
ab659953-8333-4356-ac9b-53729fb97748,2,14,24,1.7493861154893857
b828caf0-4cef-4a31-9cf0-102b91841982,2,14,24,1.5878395172654185
c9a109b8-eb5c-4ec3-b8c4-7c0dbf4de12b,2,14,23,2.154469209837359
dfbc11e3-d5d5-4bcc-b914-d89ffa62854f,2,14,23,1.7184100740242212
eb0fc86c-c0b4-447e-a72b-785aa6e61518,2,14,25,1.9088403391289563
fed6c52e-3491-40cf-91df-5c9a734a0926,2,14,23,1.5878395172654185
