statement_id,groups_with_data,max_gap,delta_x,delta_y
6907912510acab4c189c26cd,7,3.605551275463989,3.0,3.0
69079125de5cf20cb23dbb42,7,5.2345009313209605,1.5,5.2
690791231130232c6f24a8b1,7,2.8284271247461903,2.0,2.0
69593dc0eac6a120dc6e88a1,7,4.527692569068709,2.0,4.5
69079122e0cd0242cebd60cf,8,5.0,4.0,3.0
69593db9785c2ed83c8cbea7,7,5.0,3.0,4.8
690791237f24aa1ecd5429a9,7,4.560701700396552,2.0,4.4
69593db392815610917874fb,7,4.0,4.0,1.5
69593daf0a570c24336526d8,7,2.0591260281974,1.5,2.0
69079123065e0438f4af92d0,8,2.692582403567252,2.5,2.0
69593dddb7e03945a9abeb07,6,5.830951894845301,3.2,5.0
69593dddef4549e17f3ee3a2,6,7.211102550927978,4.0,6.0
69593ddde0762f0fda4a8b45,6,4.123105625617661,1.0,4.0
69593ddcadb5f834c1df5aac,6,6.248199740725323,4.0,4.8
69593ddc97c883f04d4a839d,6,3.1622776601683786,1.7999999999999998,3.0
69593ddc5731441183ecdee5,6,5.385164807134504,2.0,5.0
69593ddbdf5f0ff1ac2e78f2,6,4.024922359499621,3.5999999999999996,2.0
69079124900fedf3fc27cf51,6,3.5383612025908264,2.4000000000000004,2.5999999999999996
69593ddac1fb00b7ab7169e6,6,2.0,0.666666666666667,2.0
