token,tenure_years,n_placements,mean_x,mean_y,extremity_count,extremity_rate
ad1b9e2e-51bb-4e90-a9ad-816022f82dc4,55.00,23,4.609,5.739,13,0.565
b828caf0-4cef-4a31-9cf0-102b91841982,18.00,24,4.667,4.708,5,0.208
cdecce63-879c-40b2-b10f-9c7fa53bd875,16.00,25,3.680,5.800,12,0.480
30545a77-664a-44d4-9d54-a7c1993a32b9,15.00,14,5.643,6.143,8,0.571
7cb82cfd-fb62-4f52-9d5d-7a429aef0680,15.00,24,4.833,4.667,9,0.375
ab659953-8333-4356-ac9b-53729fb97748,15.00,24,4.458,4.583,7,0.292
c9a109b8-eb5c-4ec3-b8c4-7c0dbf4de12b,15.00,23,4.565,4.478,6,0.261
dfbc11e3-d5d5-4bcc-b914-d89ffa62854f,15.00,23,4.826,4.696,7,0.304
eb0fc86c-c0b4-447e-a72b-785aa6e61518,15.00,25,4.760,4.680,6,0.240
35569596-4e4f-4ef8-ba25-8e0b36d7c77c,12.00,24,4.542,4.333,4,0.167
403fcc5a-e686-45f2-bcab-23af322043b8,12.00,23,4.304,4.739,4,0.174
a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8,12.00,23,4.652,4.609,6,0.261
1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc,10.00,24,4.542,5.250,9,0.375
7372d8df-8801-4122-acd5-a879fc9db86b,10.00,23,4.696,4.435,6,0.261
fed6c52e-3491-40cf-91df-5c9a734a0926,10.00,23,4.783,4.391,9,0.391
0faae8e3-9d8d-456d-927c-72e3e608a22a,2.00,4,5.250,5.000,1,0.250
