statement_id,statement_text,mean_x,mean_y,closest_theme,distance,raw_quadrant,theme_quadrant,quadrant_match
69623dd4e66dc12580f9c683,"Request parts quickly, eliminate unnecessary intermediate steps.",3.0,6.0,Coordinate across teams and unblock,0.18210783977117068,low-high,low-high,True
69623e109a7f36eb1d1a48ed,Establish regular digital skills training programs.,5.0,7.0,Coordinate across teams and unblock,2.0609340066076443,high-high,low-high,False
69623e5ae0640bffa8f7cf43,The meeting reports must be exported from the real-time system.,7.0,7.0,Make the goal concrete,2.98939810069762,high-high,high-high,True
69623ec668afe0c8507ae99c,"Ensure that when the technology is ready, people also have the necessary skills to operate it.",4.0,6.0,Coordinate across teams and unblock,0.822204602372953,high-high,low-high,False
696154a549312a96c61f163b,Define digital transformation objectives.,5.0,7.0,Coordinate across teams and unblock,2.0609340066076443,high-high,low-high,False
696154e25b8fa78b07efe2c5,Build KPIs for each department based on digital transformation objectives,5.0,7.0,Coordinate across teams and unblock,2.0609340066076443,high-high,low-high,False
6961551ccba94fc1792e4fef,"Consider solutions: processes, application systems, technologies, etc.",6.0,5.0,Make the goal concrete,1.0466037975888653,high-high,high-high,True
6961584bb637af3b2c5f3e6c,"Reorganize, train all employees to be ready to work effectively within the digital system.",5.0,6.0,Make the goal concrete,1.1965902002182185,high-high,high-high,True
696158837f58e0d57d733b8c,Continuous improvement,6.0,5.0,Make the goal concrete,1.0466037975888653,high-high,high-high,True
69614c5693ce0292bfcf2548,"Develop a roadmap for achieving strategic goals, defining specific targets for each milestone in the roadmap.",6.0,7.0,Make the goal concrete,2.4249590178185274,high-high,high-high,True
69614c9f694da8029173bc8d,"Regularly review, update strategic goals to align with the company's actual needs.",6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
69614cba06256ac12cf13ec3,Establish a channel for sharing information on controlling strategic goals.,5.0,6.0,Make the goal concrete,1.1965902002182185,high-high,high-high,True
69614ce1092a925863efe17f,"Implement a reward, punishment policy for each milestone.",6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
69613b40078b23352ef473eb,"Communicate to employees that digital transformation brings about positive, far reaching changes, from work progresses to daily problem-solving.",6.0,4.0,Handle emotions and risk,1.1036488539728613,high-high,high-high,True
69613e532106c691db26a56e,"Communicate to employees the importance of process adherence, data accuracy when implementing digitalization.",5.0,6.0,Make the goal concrete,1.1965902002182185,high-high,high-high,True
69613eb74c3f8190091231a4,Provide regular training to refresh knowledge related to digital transformation.,6.0,5.0,Make the goal concrete,1.0466037975888653,high-high,high-high,True
69613f3bb3356976f6a60931,Conduct regular compliance checks.,6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
6961406f96a6a2b22a8083c3,"Conduct periodic performance reviews, reward/penalty programs.",5.0,6.0,Make the goal concrete,1.1965902002182185,high-high,high-high,True
69613190370dd5f27f51b51e,"Clarify strategic objectives, phase objectives. These objectives must be agreed upon by all departments, approved by leadership.",6.0,7.0,Make the goal concrete,2.4249590178185274,high-high,high-high,True
6961335f4f26a8154fb3d097,"The project team monitors progress, updates changes to objectives. The information must be updated to all team memebers.",6.0,5.0,Make the goal concrete,1.0466037975888653,high-high,high-high,True
696135426bbb7cfb720b26b4,"Communicate the advantage of digital transformation, the significant changes It will bring, so that employees are actively ready to embrace it.",6.0,5.0,Make the goal concrete,1.0466037975888653,high-high,high-high,True
696135c28d0ecab4645bfd1f,"Provide the best environment for digital transformation operations: training, system, data, infrastructure, ect...",6.0,5.0,Make the goal concrete,1.0466037975888653,high-high,high-high,True
695cd6640ba0dc5235852602,Develop KPIs for departments based on the overall digitalization goals.,5.0,7.0,Coordinate across teams and unblock,2.0609340066076443,high-high,low-high,False
695cd7664380b60b00dfa8de,"Regularly update top management on KPIs, overall goals progress.",7.0,5.0,Make the goal concrete,2.037511785360412,high-high,high-high,True
695cd7ead3f4b81be7194bdd,Communicate to ensure understanding of the importance of collaboration from all departments to achieve common goals.,5.0,6.0,Make the goal concrete,1.1965902002182185,high-high,high-high,True
695cd844360395be926f7a4e,"Implement a policy of rewarding, promoting active members at each milestone.",6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695cdb0d37003bbfcd3ccb42,"Commitment to fully implement the results of the digital transformation process,",5.0,6.0,Make the goal concrete,1.1965902002182185,high-high,high-high,True
695cdb498b2225acf47588b2,"Thorough training, timely support throughout the digitalization process.",6.0,6.0,Make the goal concrete,1.5773087439095164,high-high,high-high,True
695ccd266b5a4765975010c1,Clarify how it helps employees in their work.,3.0,4.0,Show how work will change,0.8552392883648483,low-high,low-high,True
695ccdd4c9afeb98c54493ba,There is a reward system for individuals who are poineers in successfully applying new technologies.,5.0,5.0,Make the goal concrete,0.19825423771585454,high-high,high-high,True
695cd05ca41dfc378cc2fb6a,Allocate budget in stages to achieve each milestone.,4.0,4.0,Show how work will change,0.29761904761904756,high-high,low-high,False
695cd103e7226e5cc8aa5205,Select the best personnel from various departments to focus on the digitalization project.,1.0,6.0,Coordinate across teams and unblock,2.178864148952806,low-high,low-high,True
695cd1b61c2f72d78f0598fc,"Request reports extracted directly from the system instead of viewing Excel files, printed documents.",2.0,6.0,Coordinate across teams and unblock,1.1791124299442268,low-high,low-high,True
695cccb76859440ace1ef871,Try to retain talented people.,1.0,7.0,Coordinate across teams and unblock,2.3824400114511306,low-high,low-high,True
695cd0566859440ace1f0374,"Communicate to each member to understand the importance of compliance, accuracy, timeliness when implement digitalization.",7.0,5.0,Make the goal concrete,2.037511785360412,high-high,high-high,True
695cd0bf8984a060e27177a2,"Select technology solution that matches capacibilities, practical requirements.",6.0,5.0,Make the goal concrete,1.0466037975888653,high-high,high-high,True
695cd13bdcb11b668666a780,"Provide thorough training, timely suport throughout the initial phrase of digitalization implement,",6.0,5.0,Make the goal concrete,1.0466037975888653,high-high,high-high,True
