x,y,cell_id,count,percent_of_placements,participant_count,percent_of_participants
1,1,1,2,0.7194244604316548,2,12.5
1,2,2,0,0.0,0,0.0
1,3,3,1,0.3597122302158274,1,6.25
1,4,4,0,0.0,0,0.0
1,5,5,1,0.3597122302158274,1,6.25
1,6,6,0,0.0,0,0.0
1,7,7,1,0.3597122302158274,1,6.25
2,1,8,2,0.7194244604316548,1,6.25
2,2,9,9,3.237410071942446,8,50.0
2,3,10,8,2.877697841726619,6,37.5
2,4,11,3,1.079136690647482,3,18.75
2,5,12,3,1.079136690647482,3,18.75
2,6,13,2,0.7194244604316548,2,12.5
2,7,14,11,3.9568345323741005,10,62.5
3,1,15,0,0.0,0,0.0
3,2,16,2,0.7194244604316548,2,12.5
3,3,17,5,1.7985611510791366,4,25.0
3,4,18,3,1.079136690647482,3,18.75
3,5,19,3,1.079136690647482,3,18.75
3,6,20,4,1.4388489208633095,4,25.0
3,7,21,12,4.316546762589928,9,56.25
4,1,22,0,0.0,0,0.0
4,2,23,1,0.3597122302158274,1,6.25
4,3,24,0,0.0,0,0.0
4,4,25,10,3.597122302158273,7,43.75
4,5,26,13,4.676258992805756,10,62.5
4,6,27,12,4.316546762589928,10,62.5
4,7,28,23,8.273381294964029,14,87.5
5,1,29,0,0.0,0,0.0
5,2,30,16,5.755395683453238,8,50.0
5,3,31,11,3.9568345323741005,6,37.5
5,4,32,6,2.158273381294964,5,31.25
5,5,33,16,5.755395683453238,12,75.0
5,6,34,10,3.597122302158273,8,50.0
5,7,35,11,3.9568345323741005,9,56.25
6,1,36,2,0.7194244604316548,1,6.25
6,2,37,23,8.273381294964029,10,62.5
6,3,38,14,5.0359712230215825,10,62.5
6,4,39,4,1.4388489208633095,3,18.75
6,5,40,2,0.7194244604316548,2,12.5
6,6,41,8,2.877697841726619,7,43.75
6,7,42,8,2.877697841726619,5,31.25
7,1,43,0,0.0,0,0.0
7,2,44,3,1.079136690647482,3,18.75
7,3,45,0,0.0,0,0.0
7,4,46,0,0.0,0,0.0
7,5,47,1,0.3597122302158274,1,6.25
7,6,48,5,1.7985611510791366,3,18.75
7,7,49,7,2.5179856115107913,4,25.0
